Paper_ID,Authors,Year,Drug,Dose_mg,Formulation,Route,Condition,Gravity_Model,Duration,Subjects_n,Sample_Matrix,Cmax_value,Cmax_unit,Tmax_h,AUC0t_value,AUC0t_unit,AUC0inf_value,AUC0inf_unit,t_half_h,Clearance,Clearance_unit,Vd,Vd_unit,MRT_h,Notes,Journal,Cmax_ug_mL,AUC0t_ug_h_mL,AUC0inf_ug_h_mL,Cmax_unit_harmonized,AUC_unit_harmonized,Cmax_ugmL_per_500mg,AUC_ughmL_per_500mg
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,Earth (Ambulatory HDT0) 2001 session,HDT -6 degrees,Before BR,10,Plasma,6.24,µg/mL,3.11,21.18,µg*h/mL,,,3.43,,,,,,2001 session only,,6.24,21.18,,µg/mL,µg·h/mL,3.12,10.59
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,Earth (Ambulatory HDT0) 2002 session,HDT -6 degrees,Before BR,8,Plasma,9.84,µg/mL,1.89,37.16,µg*h/mL,,,2.91,,,,,,2002 session only,,9.84,37.16,,µg/mL,µg·h/mL,4.92,18.58
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,Earth (Ambulatory HDT0) Global,HDT -6 degrees,Before BR,18,Plasma,8.04,µg/mL,2.5,29.17,µg*h/mL,,,3.17,,,,,,Global mean 18 subjects,,8.04,29.17,,µg/mL,µg·h/mL,4.02,14.585
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 1 2001 session,HDT -6 degrees,1 day,10,Plasma,9.01,µg/mL,1.47,26.68,µg*h/mL,,,2.7,,,,,,2001 session,,9.01,26.68,,µg/mL,µg·h/mL,4.505,13.34
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 1 2002 session,HDT -6 degrees,1 day,8,Plasma,12.21,µg/mL,1.33,39.77,µg*h/mL,,,3.11,,,,,,2002 session,,12.21,39.77,,µg/mL,µg·h/mL,6.105,19.885
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 1 Global,HDT -6 degrees,1 day,18,Plasma,10.43,µg/mL,1.41,32.5,µg*h/mL,,,2.88,,,,,,Global mean; Cmax +30% vs HDT0; Tmax -44%,,10.43,32.5,,µg/mL,µg·h/mL,5.215,16.25
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 18 2001 session,HDT -6 degrees,18 days,10,Plasma,11.81,µg/mL,0.82,32.22,µg*h/mL,,,2.15,,,,,,2001 session,,11.81,32.22,,µg/mL,µg·h/mL,5.905,16.11
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 18 2002 session,HDT -6 degrees,18 days,8,Plasma,11.95,µg/mL,1.25,38.04,µg*h/mL,,,2.97,,,,,,2002 session,,11.95,38.04,,µg/mL,µg·h/mL,5.975,19.02
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 18 Global,HDT -6 degrees,18 days,18,Plasma,11.89,µg/mL,1.05,35.33,µg*h/mL,,,2.59,,,,,,Global mean; Cmax +48% vs HDT0,,11.89,35.33,,µg/mL,µg·h/mL,5.945,17.665
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 80 2001 session,HDT -6 degrees,80 days,10,Plasma,15.48,µg/mL,1.22,29.42,µg*h/mL,,,1.85,,,,,,2001 session,,15.48,29.42,,µg/mL,µg·h/mL,7.74,14.71
Gandia2003,Gandia et al.,2003,Paracetamol,1000,Not specified,Oral,HDT Day 80 2002 session,HDT -6 degrees,80 days,8,Plasma,13.69,µg/mL,0.48,41.12,µg*h/mL,,,2.67,,,,,,2002 session,,13.69,41.12,,µg/mL,µg·h/mL,6.845,20.56
